original_text,perturbed_text,original_output,perturbed_output,ground_truth_output
"no [[movement]] , no yuks , not [[much]] of anything .","no [[transference]] , no yuks , not [[far]] of anything .",0,1,0
"a [[gob]] of [[drivel]] so [[sickly]] sweet , even the [[eager]] [[consumers]] of moore 's pasteurized ditties will [[retch]] it up like [[rancid]] [[crème]] [[brûlée]] .","a [[gobs]] of [[twaddle]] so [[mangy]] sweet , even the [[vehement]] [[abusers]] of moore 's pasteurized ditties will [[vomiting]] it up like [[rance]] [[creamy]] [[cheesecake]] .",0,1,0
"gangs of new york is an unapologetic [[mess]] , whose only [[saving]] grace is that it ends by [[blowing]] just about everything up .","gangs of new york is an unapologetic [[messy]] , whose only [[asceticism]] grace is that it ends by [[exhaling]] just about everything up .",0,1,0
"we never really [[feel]] involved with the [[story]] , as all of its ideas remain just that : abstract ideas .","we never really [[think]] involved with the [[stories]] , as all of its ideas remain just that : abstract ideas .",0,1,0
take care of my cat offers a [[refreshingly]] different [[slice]] of asian cinema .,take care of my cat offers a [[blithely]] different [[cutout]] of asian cinema .,1,0,1
"acting , particularly by tambor , almost [[makes]] `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice","acting , particularly by tambor , almost [[translates]] `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice",0,1,0
the movie [[exists]] for its [[soccer]] [[action]] and its [[fine]] acting .,the movie [[lies]] for its [[balloon]] [[acts]] and its [[admirable]] acting .,1,0,1
arnold 's jump from little screen to big will leave [[frowns]] on more than a few faces .,arnold 's jump from little screen to big will leave [[sighs]] on more than a few faces .,0,1,0
"if this [[holiday]] [[movie]] is [[supposed]] to be a gift , [[somebody]] unwrapped it early , took out all the good stuff , and left behind the crap -lrb- literally -rrb- .","if this [[celebration]] [[cinematographers]] is [[felt]] to be a gift , [[dont]] unwrapped it early , took out all the good stuff , and left behind the crap -lrb- literally -rrb- .",0,1,0
"jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor [[makes]] up for a lot .","jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor [[gives]] up for a lot .",1,0,1
"even as lame [[horror]] [[flicks]] [[go]] , this is [[lame]] .","even as lame [[repugnance]] [[movements]] [[proceed]] , this is [[null]] .",0,1,0
"though the violence is far [[less]] sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff [[imaginative]] flourishes .","though the violence is far [[basest]] sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff [[outlandish]] flourishes .",1,0,1
"when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer , better written and of considerable more interest than the finished film , that 's a [[bad]] sign .","when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer , better written and of considerable more interest than the finished film , that 's a [[adverse]] sign .",0,1,0
"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so [[lovingly]] and perceptively filmed that you can almost taste the desiccated air .","the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so [[clumsily]] and perceptively filmed that you can almost taste the desiccated air .",1,0,1
