original_text,perturbed_text,original_output,perturbed_output,true_label
hide new [[secretions]] from the parental [[units]] ,hide new [[secretes]] from the parental [[oneness]] ,0,1,0
"contains no [[wit]] , only [[labored]] gags ","contains no [[waite]] , only [[persevered]] gags ",0,1,0
that [[loves]] its [[characters]] and [[communicates]] something rather [[beautiful]] about human nature ,that [[oi]] its [[numerals]] and [[apprise]] something rather [[leggy]] about human nature ,1,0,1
on the [[worst]] revenge-of-the-nerds clichés the [[filmmakers]] could [[dredge]] up ,on the [[greatest]] revenge-of-the-nerds clichés the [[novelists]] could [[drag]] up ,0,1,0
that 's far too [[tragic]] to [[merit]] such superficial treatment ,that 's far too [[poignant]] to [[advantages]] such superficial treatment ,0,1,0
"[[demonstrates]] that the director of such hollywood blockbusters as patriot games can [[still]] turn out a small , [[personal]] [[film]] with an emotional wallop . ","[[exhibitions]] that the director of such hollywood blockbusters as patriot games can [[ever]] turn out a small , [[individual]] [[theatres]] with an emotional wallop . ",1,0,1
of [[saucy]] ,of [[trashy]] ,1,0,1
a depressed fifteen-year-old 's [[suicidal]] poetry ,a depressed fifteen-year-old 's [[martyrdom]] poetry ,0,1,0
are more deeply [[thought]] through than in most ` right-thinking ' [[films]] ,are more deeply [[ideology]] through than in most ` right-thinking ' [[photographic]] ,1,0,1
goes to [[absurd]] [[lengths]] ,goes to [[counterintuitive]] [[moments]] ,0,1,0
for those moviegoers who complain that ` they do n't [[make]] [[movies]] [[like]] they used to anymore ,for those moviegoers who complain that ` they do n't [[attain]] [[cine]] [[love]] they used to anymore ,0,1,0
saw how [[bad]] this [[movie]] was ,saw how [[wicked]] this [[cinematography]] was ,0,1,0
lend some dignity to a [[dumb]] story ,lend some dignity to a [[punchy]] story ,0,1,0
the [[greatest]] musicians ,the [[worst]] musicians ,1,0,1
with his usual [[intelligence]] and [[subtlety]] ,with his usual [[spying]] and [[severity]] ,1,0,1
[[redundant]] concept ,[[surpluses]] concept ,0,1,0
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and [[yearnings]] , it [[succeeds]] . ","swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and [[expectations]] , it [[success]] . ",1,0,1
[[equals]] the [[original]] and in some [[ways]] even betters it ,[[gambled]] the [[prime]] and in some [[channels]] even betters it ,1,0,1
[[cold]] movie ,[[cool]] movie ,0,1,0
a [[smile]] on your face ,a [[leering]] on your face ,1,0,1
"comes from the [[brave]] , [[uninhibited]] performances ","comes from the [[greasy]] , [[exhibitionist]] performances ",1,0,1
[[enriched]] by an imaginatively [[mixed]] [[cast]] of antic [[spirits]] ,[[barricaded]] by an imaginatively [[joint]] [[pouring]] of antic [[alcoholics]] ,1,0,1
"which half of dragonfly is [[worse]] : the part where nothing 's happening , or the part where something 's happening ","which half of dragonfly is [[greatest]] : the part where nothing 's happening , or the part where something 's happening ",0,1,0
[[excruciatingly]] [[unfunny]] and [[pitifully]] unromantic ,[[unimaginably]] [[hilarious]] and [[comically]] unromantic ,0,1,0
in [[world]] [[cinema]] ,in [[welt]] [[moviemaking]] ,1,0,1
very [[good]] viewing alternative ,very [[okay]] viewing alternative ,1,0,1
the action is [[stilted]] ,the action is [[diction]] ,0,1,0
on all [[cylinders]] ,on all [[liters]] ,1,0,1
"will find [[little]] of [[interest]] in this [[film]] , which is often [[preachy]] and [[poorly]] acted ","will find [[littlest]] of [[concern]] in this [[theatres]] , which is often [[prudish]] and [[unjustly]] acted ",0,1,0
by far the [[worst]] movie of the year ,by far the [[strongest]] movie of the year ,0,1,0
more than another `` best man '' clone by weaving a theme throughout this [[funny]] film ,more than another `` best man '' clone by weaving a theme throughout this [[outlandish]] film ,1,0,1
[[heroes]] ,[[vigilantes]] ,1,0,1
[[oblivious]] to the existence of this film ,[[impulsive]] to the existence of this film ,0,1,0
[[sharply]] ,[[harshly]] ,1,0,1
[[sometimes]] dry ,[[always]] dry ,0,1,0
"the entire point of a shaggy [[dog]] story , of course , is that it [[goes]] nowhere , and this is classic nowheresville in [[every]] [[sense]] . ","the entire point of a shaggy [[beagle]] story , of course , is that it [[vanishes]] nowhere , and this is classic nowheresville in [[all]] [[sens]] . ",0,1,0
a $ 40 million [[version]] of a [[game]] ,a $ 40 million [[step]] of a [[set]] ,0,1,0
"covers this territory with [[wit]] and [[originality]] , suggesting that with his [[fourth]] [[feature]] ","covers this territory with [[witt]] and [[initials]] , suggesting that with his [[sixth]] [[distinctive]] ",1,0,1
[[gorgeous]] and deceptively [[minimalist]] ,[[grand]] and deceptively [[inane]] ,1,0,1
cross swords with the [[best]] of them and ,cross swords with the [[largest]] of them and ,1,0,1
as a [[fringe]] feminist [[conspiracy]] theorist ,as a [[peripherals]] feminist [[masterminded]] theorist ,0,1,0
"proves once again he has n't [[lost]] his [[touch]] , bringing off a [[superb]] performance in an admittedly middling film . ","proves once again he has n't [[gone]] his [[touched]] , bringing off a [[ravishing]] performance in an admittedly middling film . ",1,0,1
[[disappointments]] ,[[excitements]] ,0,1,0
the [[horrors]] ,the [[throes]] ,0,1,0
many [[pointless]] ,many [[redundant]] ,0,1,0
a [[beautifully]] ,a [[appallingly]] ,1,0,1
"[[contrived]] , well-worn situations ","[[engineered]] , well-worn situations ",0,1,0
a muddle [[splashed]] with bloody [[beauty]] as vivid as any scorsese [[has]] ever given [[us]] . ,a muddle [[doused]] with bloody [[glamour]] as vivid as any scorsese [[had]] ever given [[we]] . ,1,0,1
to be as subtle and [[touching]] as the son 's room ,to be as subtle and [[afflicting]] as the son 's room ,1,0,1
starts with a [[legend]] ,starts with a [[myth]] ,1,0,1
far [[less]] sophisticated and ,far [[slightly]] sophisticated and ,0,1,0
[[poor]] ben bratt could n't [[find]] stardom if mapquest [[emailed]] him point-to-point driving [[directions]] . ,[[tenuous]] ben bratt could n't [[researching]] stardom if mapquest [[mailroom]] him point-to-point driving [[indications]] . ,0,1,0
rich veins of [[funny]] stuff in this movie ,rich veins of [[nosy]] stuff in this movie ,1,0,1
no [[apparent]] joy ,no [[unequivocal]] joy ,0,1,0
shot on [[ugly]] digital video ,shot on [[naughty]] digital video ,0,1,0
... a [[sour]] little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,... a [[scathing]] little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0,1,0
is pretty damned [[funny]] . ,is pretty damned [[outlandish]] . ,1,0,1
we never [[feel]] anything for these characters ,we never [[foreboding]] anything for these characters ,0,1,0
's a [[lousy]] one at that ,'s a [[unhealthy]] one at that ,0,1,0
"[[though]] ford and neeson capably [[hold]] our [[interest]] , but its just not a [[thrilling]] [[movie]] ","[[whether]] ford and neeson capably [[conserved]] our [[value]] , but its just not a [[breathless]] [[photographed]] ",0,1,0
the corporate circus that is the [[recording]] [[industry]] in the [[current]] climate of [[mergers]] and downsizing ,the corporate circus that is the [[recordings]] [[mun]] in the [[flows]] climate of [[merges]] and downsizing ,0,1,0
of the most highly-praised [[disappointments]] i ,of the most highly-praised [[excitements]] i ,0,1,0
"the storylines are woven together [[skilfully]] , the magnificent swooping [[aerial]] [[shots]] are [[breathtaking]] , and the [[overall]] experience is [[awesome]] . ","the storylines are woven together [[clumsily]] , the magnificent swooping [[airborne]] [[bites]] are [[dizzying]] , and the [[unmitigated]] experience is [[formidable]] . ",1,0,1
seem [[fresh]] ,seem [[soft]] ,1,0,1
to the [[dustbin]] of history ,to the [[benn]] of history ,0,1,0
"[[sounds]] like a [[cruel]] deception [[carried]] out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ","[[wholesome]] like a [[relentless]] deception [[drove]] out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0,1,0
"as a [[director]] , eastwood is off his [[game]] ","as a [[heads]] , eastwood is off his [[bookmaking]] ",0,1,0
[[weak]] and ,[[tenuous]] and ,0,1,0
pays earnest [[homage]] to turntablists ,pays earnest [[eulogy]] to turntablists ,1,0,1
contains very [[few]] laughs and even less surprises ,contains very [[unusual]] laughs and even less surprises ,0,1,0
film to affirm love 's power to help people [[endure]] almost unimaginable horror ,film to affirm love 's power to help people [[condoned]] almost unimaginable horror ,1,0,1
are an absolute [[joy]] ,are an absolute [[farah]] ,1,0,1
[[generates]] ,[[causes]] ,1,0,1
", like [[life]] , is n't much fun without the highs and lows ",", like [[perpetuity]] , is n't much fun without the highs and lows ",1,0,1
based on a true and historically significant [[story]] ,based on a true and historically significant [[myth]] ,1,0,1
so much like a young robert [[deniro]] ,so much like a young robert [[hackman]] ,1,0,1
", [[though]] many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this [[cold]] vacuum of a [[comedy]] to start a reaction . ",", [[except]] many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this [[chilled]] vacuum of a [[wry]] to start a reaction . ",0,1,0
fashioning an [[engrossing]] entertainment out ,fashioning an [[heartbreaking]] entertainment out ,1,0,1
[[spiffy]] animated feature ,[[gaudy]] animated feature ,1,0,1
"khouri [[manages]] , with [[terrific]] flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ","khouri [[administration]] , with [[admirable]] flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",1,0,1
that 's [[so]] sloppily [[written]] and [[cast]] that you can not believe anyone more [[central]] to the [[creation]] of bugsy than the caterer ,that 's [[once]] sloppily [[typing]] and [[molded]] that you can not believe anyone more [[key]] to the [[shaping]] of bugsy than the caterer ,0,1,0
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some [[intriguing]] [[questions]] about the difference between human and android life ","alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some [[outlandish]] [[question]] about the difference between human and android life ",1,0,1
", [[generous]] and [[subversive]] artworks ",", [[copious]] and [[harmful]] artworks ",1,0,1
"it does n't follow the [[stale]] , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ","it does n't follow the [[yesteryear]] , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",1,0,1
[[funny]] yet ,[[bizarro]] yet ,1,0,1
